User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
60091047,2023-07-14 19:14:07,USD-M Futures,Fee,USDT,-0.0339549,TradeID - 1200419459
60091047,2023-07-15 02:09:52,Spot,Simple Earn Flexible Interest,USDT,2.69e-06,Binance Earn
60091047,2023-07-15 03:15:10,Spot,Simple Earn Flexible Subscription,USDT,-2.69e-06,Binance Earn
60091047,2023-07-15 16:58:15,Spot,Deposit,BRL,1000.0,
60091047,2023-07-15 17:01:09,Spot,Transaction Buy,USDT,3.4,
60091047,2023-07-15 17:01:09,Spot,Transaction Fee,BNB,-1.017e-05,
60091047,2023-07-15 17:01:09,Spot,Transaction Spend,BRL,-16.4492,
60091047,2023-07-15 17:01:15,Spot,Transaction Spend,BRL,-22.7386,
60091047,2023-07-15 17:01:15,Spot,Transaction Buy,USDT,4.7,
60091047,2023-07-15 17:01:15,Spot,Transaction Fee,BNB,-1.407e-05,
60091047,2023-07-15 17:01:21,Spot,Transaction Spend,BRL,-309.632,
60091047,2023-07-15 17:01:21,Spot,Transaction Buy,USDT,64.0,
60091047,2023-07-15 17:01:21,Spot,Transaction Fee,BNB,-0.00019161,
60091047,2023-07-15 17:01:27,Spot,Transaction Fee,USDT,-0.1346,
60091047,2023-07-15 17:01:27,Spot,Transaction Spend,BRL,-651.1948,
60091047,2023-07-15 17:01:27,Spot,Transaction Buy,USDT,134.6,
60091047,2023-07-15 17:39:32,Spot,Simple Earn Flexible Subscription,USDT,-0.1581,Binance Earn
60091047,2023-07-15 17:50:33,Spot,Transaction Buy,BTC,0.00682,
60091047,2023-07-15 17:50:33,Spot,Transaction Spend,USDT,-206.4073,
60091047,2023-07-15 17:50:33,Spot,Transaction Fee,BTC,-6.82e-06,
60091047,2023-07-15 22:52:43,Spot,Withdraw,BTC,-0.00681318,Withdraw fee is included
60091047,2023-07-16 02:09:13,Spot,Simple Earn Flexible Interest,USDT,2.69e-06,Binance Earn
60091047,2023-07-16 03:16:11,Spot,Simple Earn Flexible Subscription,USDT,-2.69e-06,Binance Earn
60091047,2023-07-16 14:39:07,USD-M Futures,Fee,USDT,-0.00596744,TradeID - 1206261220
60091047,2023-07-16 14:55:10,USD-M Futures,Fee,USDT,-0.0059364,TradeID - 1206332685
60091047,2023-07-16 14:55:10,USD-M Futures,Realized Profit and Loss,USDT,-0.1552,TradeID - 1206332685
60091047,2023-07-17 02:02:56,Spot,Simple Earn Flexible Interest,USDT,9.19e-06,Binance Earn
60091047,2023-07-17 03:16:00,Spot,Simple Earn Flexible Subscription,USDT,-9.19e-06,Binance Earn
60091047,2023-07-18 02:15:08,Spot,Simple Earn Flexible Interest,USDT,9.19e-06,Binance Earn
60091047,2023-07-18 03:13:01,Spot,Simple Earn Flexible Subscription,USDT,-9.19e-06,Binance Earn
60091047,2023-07-19 02:37:25,Spot,Simple Earn Flexible Interest,USDT,9.19e-06,Binance Earn
60091047,2023-07-19 03:14:05,Spot,Simple Earn Flexible Subscription,USDT,-9.19e-06,Binance Earn
60091047,2023-07-20 02:19:14,Spot,Simple Earn Flexible Interest,USDT,9.2e-06,Binance Earn
60091047,2023-07-20 03:12:07,Spot,Simple Earn Flexible Subscription,USDT,-9.2e-06,Binance Earn
60091047,2023-07-21 02:14:55,Spot,Simple Earn Flexible Interest,USDT,9.2e-06,Binance Earn
60091047,2023-07-21 03:14:09,Spot,Simple Earn Flexible Subscription,USDT,-9.2e-06,Binance Earn
60091047,2023-07-22 01:32:17,Spot,Simple Earn Flexible Interest,USDT,9.2e-06,Binance Earn
60091047,2023-07-22 03:13:05,Spot,Simple Earn Flexible Subscription,USDT,-9.2e-06,Binance Earn
60091047,2023-07-23 02:08:57,Spot,Simple Earn Flexible Interest,USDT,9.2e-06,Binance Earn
60091047,2023-07-23 03:15:13,Spot,Simple Earn Flexible Subscription,USDT,-9.2e-06,Binance Earn
60091047,2023-07-24 02:09:05,Spot,Simple Earn Flexible Interest,USDT,9.2e-06,Binance Earn
60091047,2023-07-24 03:12:36,Spot,Simple Earn Flexible Subscription,USDT,-9.2e-06,Binance Earn
60091047,2023-07-25 03:03:22,Spot,Simple Earn Flexible Interest,USDT,9.2e-06,Binance Earn
60091047,2023-07-25 18:06:42,Spot,Simple Earn Flexible Subscription,USDT,-9.2e-06,Binance Earn
60091047,2023-07-26 02:32:03,Spot,Simple Earn Flexible Interest,USDT,9.2e-06,Binance Earn
60091047,2023-07-26 03:11:32,Spot,Simple Earn Flexible Subscription,USDT,-9.2e-06,Binance Earn
60091047,2023-07-26 23:04:15,USD-M Futures,Fee,USDT,-0.0176778,TradeID - 3969706209
60091047,2023-07-27 00:00:00,USD-M Futures,Funding Fee,USDT,0.00276,
60091047,2023-07-27 02:03:01,Spot,Simple Earn Flexible Interest,USDT,9.2e-06,Binance Earn
